Generation,ID,Fitness
0,0,256
0,1,256
0,2,256
0,3,256
0,4,256
0,5,256
0,6,256
0,7,256
0,8,256
0,9,256
0,10,256
0,11,256
0,12,256
0,13,256
0,14,256
0,15,256
0,16,256
0,17,256
0,18,256
0,19,256
0,20,256
0,21,256
0,22,256
0,23,256
0,24,256
0,25,256
0,26,256
0,27,256
0,28,256
0,29,256
0,30,256
0,31,256
0,32,256
0,33,256
0,34,256
0,35,256
0,36,256
0,37,256
0,38,256
0,39,256
0,40,256
0,41,256
0,42,256
0,43,256
0,44,256
0,45,256
0,46,256
0,47,256
0,48,256
0,49,256
0,50,256
0,51,256
0,52,256
0,53,256
0,54,256
0,55,256
0,56,256
0,57,256
0,58,256
0,59,256
0,60,256
0,61,256
0,62,256
0,63,256
0,64,256
0,65,256
0,66,256
0,67,256
0,68,256
0,69,256
0,70,256
0,71,256
0,72,256
0,73,256
0,74,256
0,75,256
0,76,256
0,77,256
0,78,256
0,79,256
0,80,256
0,81,256
0,82,256
0,83,256
0,84,256
0,85,256
0,86,256
0,87,256
0,88,256
0,89,256
0,90,256
0,91,256
0,92,256
0,93,256
0,94,256
0,95,256
0,96,256
0,97,256
0,98,256
0,99,256
0,100,256
0,101,256
0,102,256
0,103,256
0,104,256
0,105,256
0,106,256
0,107,256
0,108,256
0,109,256
0,110,256
0,111,256
0,112,256
0,113,256
0,114,256
0,115,256
0,116,256
0,117,256
0,118,256
0,119,256
0,120,256
0,121,256
0,122,256
0,123,256
0,124,256
0,125,256
0,126,256
0,127,256
0,128,256
0,129,256
0,130,256
0,131,256
0,132,256
0,133,256
0,134,256
0,135,256
0,136,256
0,137,256
0,138,256
0,139,256
0,140,256
0,141,256
0,142,256
0,143,256
0,144,256
0,145,256
0,146,256
0,147,256
0,148,256
0,149,256
0,150,256
0,151,256
0,152,256
0,153,256
0,154,256
0,155,256
0,156,256
0,157,256
0,158,256
0,159,256
0,160,256
0,161,256
0,162,256
0,163,256
0,164,256
0,165,256
0,166,256
0,167,256
0,168,256
0,169,256
0,170,256
0,171,256
0,172,256
0,173,256
0,174,256
0,175,256
0,176,256
0,177,256
0,178,256
0,179,256
0,180,256
0,181,256
0,182,256
0,183,256
0,184,256
0,185,256
0,186,256
0,187,256
0,188,256
0,189,256
0,190,256
0,191,256
0,192,256
0,193,256
0,194,256
0,195,256
0,196,256
0,197,256
0,198,256
0,199,256
1,0,256
1,266,256
1,341,256
1,339,256
1,100,256
1,369,256
1,253,256
1,209,256
1,46,256
1,188,256
1,56,256
1,382,256
1,175,256
1,304,256
1,338,256
1,37,256
1,18,256
1,295,256
1,152,256
1,28,256
1,341,256
1,70,256
1,351,256
1,144,256
1,301,256
1,229,256
1,275,256
1,236,256
1,174,256
1,224,256
1,35,256
1,307,256
1,15,256
1,86,256
1,211,256
1,254,256
1,302,256
1,272,256
1,221,256
1,251,256
1,347,256
1,332,256
1,277,256
1,220,256
1,228,256
1,77,256
1,328,256
1,87,256
1,12,256
1,226,256
1,342,256
1,89,256
1,7,256
1,259,256
1,176,256
1,195,256
1,100,256
1,169,256
1,151,256
1,182,256
1,44,256
1,233,256
1,39,256
1,49,256
1,10,256
1,190,256
1,91,256
1,2,256
1,184,256
1,19,256
1,320,256
1,210,256
1,88,256
1,55,256
1,3,256
1,352,256
1,57,256
1,60,256
1,72,256
1,111,256
1,157,256
1,198,256
1,343,256
1,137,256
1,123,256
1,263,256
1,352,256
1,352,256
1,141,256
1,83,256
1,271,256
1,267,256
1,105,256
1,356,256
1,315,256
1,263,256
1,219,256
1,194,256
1,183,256
1,78,256
1,106,256
1,86,256
1,281,256
1,322,256
1,89,256
1,113,256
1,311,256
1,34,256
1,254,256
1,340,256
1,378,256
1,126,256
1,396,256
1,59,256
1,60,256
1,253,256
1,110,256
1,50,256
1,389,256
1,117,256
1,48,256
1,82,256
1,249,256
1,27,256
1,178,256
1,221,256
1,163,256
1,177,256
1,148,256
1,210,256
1,238,256
1,351,256
1,386,256
1,325,256
1,273,256
1,46,256
1,361,256
1,399,256
1,149,256
1,66,256
1,377,256
1,220,256
1,182,256
1,14,256
1,166,256
1,221,256
1,295,256
1,221,256
1,207,256
1,196,256
1,228,256
1,16,256
1,46,256
1,96,256
1,28,256
1,109,256
1,389,256
1,302,256
1,94,256
1,369,256
1,154,256
1,149,256
1,83,256
1,114,256
1,55,256
1,394,256
1,21,256
1,139,256
1,277,256
1,99,256
1,315,256
1,230,256
1,187,256
1,348,256
1,283,256
1,69,256
1,84,256
1,276,256
1,186,256
1,349,256
1,9,256
1,373,256
1,302,256
1,166,256
1,59,256
1,352,256
1,267,256
1,321,256
1,371,256
1,1,256
1,194,256
1,189,256
1,177,256
1,146,256
1,85,256
1,291,256
1,267,256
1,273,256
1,158,256
1,44,256
2,0,256
2,560,256
2,295,256
2,415,256
2,272,256
2,577,256
2,311,256
2,320,256
2,416,256
2,570,256
2,275,256
2,7,256
2,9,256
2,454,256
2,277,256
2,471,256
2,267,256
2,267,256
2,356,256
2,579,256
2,519,256
2,361,256
2,576,256
2,126,256
2,338,256
2,431,256
2,419,256
2,559,256
2,563,256
2,403,256
2,3,256
2,422,256
2,520,256
2,46,256
2,352,256
2,178,256
2,516,256
2,276,256
2,44,256
2,508,256
2,386,256
2,484,256
2,516,256
2,419,256
2,584,256
2,210,256
2,83,256
2,562,256
2,550,256
2,89,256
2,194,256
2,593,256
2,458,256
2,536,256
2,468,256
2,431,256
2,27,256
2,428,256
2,295,256
2,146,256
2,210,256
2,332,256
2,2,256
2,507,256
2,489,256
2,139,256
2,437,256
2,182,256
2,574,256
2,254,256
2,402,256
2,539,256
2,576,256
2,501,256
2,111,256
2,154,256
2,57,256
2,427,256
2,154,256
2,544,256
2,340,256
2,539,256
2,451,256
2,579,256
2,599,256
2,520,256
2,166,256
2,94,256
2,444,256
2,581,256
2,177,256
2,86,256
2,547,256
2,311,256
2,139,256
2,238,256
2,194,256
2,428,256
2,210,256
2,322,256
2,447,256
2,46,256
2,489,256
2,100,256
2,220,256
2,563,256
2,340,256
2,546,256
2,504,256
2,503,256
2,434,256
2,465,256
2,441,256
2,341,256
2,114,256
2,369,256
2,86,256
2,422,256
2,517,256
2,266,256
2,137,256
2,311,256
2,230,256
2,449,256
2,82,256
2,464,256
2,467,256
2,351,256
2,389,256
2,540,256
2,580,256
2,475,256
2,55,256
2,9,256
2,434,256
2,465,256
2,9,256
2,230,256
2,77,256
2,3,256
2,377,256
2,209,256
2,57,256
2,149,256
2,457,256
2,409,256
2,283,256
2,60,256
2,77,256
2,166,256
2,462,256
2,60,256
2,445,256
2,12,256
2,478,256
2,322,256
2,473,256
2,428,256
2,459,256
2,482,256
2,190,256
2,594,256
2,522,256
2,105,256
2,361,256
2,457,256
2,369,256
2,163,256
2,89,256
2,532,256
2,458,256
2,83,256
2,504,256
2,443,256
2,454,256
2,254,256
2,302,256
2,549,256
2,454,256
2,343,256
2,210,256
2,514,256
2,401,256
2,352,256
2,283,256
2,146,256
2,158,256
2,506,256
2,226,256
2,378,256
2,348,256
2,597,256
2,302,256
2,211,256
2,46,256
2,452,256
2,221,256
2,428,256
2,589,256
2,351,256
3,0,256
3,735,256
3,626,256
3,83,256
3,139,256
3,727,256
3,767,256
3,322,256
3,94,256
3,642,256
3,642,256
3,775,256
3,378,256
3,667,256
3,659,256
3,520,256
3,738,256
3,671,256
3,776,256
3,628,256
3,516,256
3,9,256
3,604,256
3,594,256
3,727,256
3,467,256
3,621,256
3,671,256
3,434,256
3,718,256
3,584,256
3,580,256
3,649,256
3,471,256
3,650,256
3,798,256
3,402,256
3,625,256
3,444,256
3,622,256
3,378,256
3,606,256
3,532,256
3,730,256
3,57,256
3,672,256
3,221,256
3,2,256
3,504,256
3,272,256
3,770,256
3,771,256
3,735,256
3,641,256
3,713,256
3,671,256
3,758,256
3,576,256
3,781,256
3,351,256
3,789,256
3,643,256
3,577,256
3,715,256
3,752,256
3,618,256
3,547,256
3,672,256
3,644,256
3,780,256
3,7,256
3,504,256
3,732,256
3,758,256
3,788,256
3,194,256
3,758,256
3,506,256
3,163,256
3,9,256
3,607,256
3,777,256
3,458,256
