Generation,ID,Fitness
0,0,81
0,1,90
0,2,81
0,3,81
0,4,81
0,5,81
0,6,81
0,7,81
0,8,81
0,9,81
0,10,81
0,11,81
0,12,81
0,13,81
0,14,81
0,15,81
0,16,81
0,17,81
0,18,81
0,19,90
0,20,81
0,21,81
0,22,81
0,23,81
0,24,81
0,25,81
0,26,81
0,27,81
0,28,81
0,29,81
0,30,81
0,31,81
0,32,81
0,33,81
0,34,81
0,35,81
0,36,81
0,37,81
0,38,90
0,39,81
0,40,81
0,41,81
0,42,81
0,43,81
0,44,81
0,45,81
0,46,81
0,47,90
0,48,81
0,49,81
0,50,81
0,51,81
0,52,81
0,53,81
0,54,81
0,55,81
0,56,81
0,57,81
0,58,90
0,59,81
0,60,81
0,61,81
0,62,81
0,63,81
0,64,81
0,65,81
0,66,81
0,67,81
0,68,81
0,69,81
0,70,81
0,71,90
0,72,81
0,73,81
0,74,81
0,75,81
0,76,81
0,77,81
0,78,81
0,79,81
0,80,81
0,81,81
0,82,81
0,83,81
0,84,81
0,85,81
0,86,81
0,87,81
0,88,81
0,89,81
0,90,81
0,91,81
0,92,81
0,93,81
0,94,81
0,95,81
0,96,81
0,97,81
0,98,81
0,99,81
0,100,81
0,101,81
0,102,81
0,103,90
0,104,81
0,105,81
0,106,81
0,107,81
0,108,81
0,109,81
0,110,81
0,111,81
0,112,81
0,113,81
0,114,81
0,115,81
0,116,81
0,117,81
0,118,81
0,119,81
0,120,81
0,121,81
0,122,81
0,123,81
0,124,81
0,125,81
0,126,81
0,127,81
0,128,81
0,129,81
0,130,90
0,131,81
0,132,81
0,133,81
0,134,81
0,135,81
0,136,81
0,137,81
0,138,81
0,139,81
0,140,81
0,141,90
0,142,81
0,143,81
0,144,81
0,145,81
0,146,81
0,147,81
0,148,81
0,149,81
0,150,81
0,151,81
0,152,81
0,153,81
0,154,81
0,155,81
0,156,81
0,157,81
0,158,81
0,159,81
0,160,81
0,161,81
0,162,81
0,163,90
0,164,81
0,165,81
0,166,81
0,167,81
0,168,81
0,169,81
0,170,81
0,171,81
0,172,81
0,173,81
0,174,81
0,175,81
0,176,81
0,177,81
0,178,81
0,179,81
0,180,81
0,181,81
0,182,81
0,183,81
0,184,81
0,185,90
0,186,90
0,187,81
0,188,81
0,189,81
0,190,81
0,191,81
0,192,81
0,193,81
0,194,81
0,195,81
0,196,81
0,197,81
0,198,81
0,199,81
1,1,90
1,59,81
1,153,81
1,328,81
1,276,81
1,303,81
1,300,81
1,225,81
1,47,90
1,160,81
1,398,90
1,341,81
1,166,81
1,125,81
1,117,81
1,396,90
1,289,81
1,300,81
1,332,81
1,216,81
1,302,81
1,306,90
1,165,81
1,0,81
1,108,81
1,2,81
1,358,81
1,225,81
1,119,81
1,143,81
1,122,81
1,155,81
1,125,81
1,65,81
1,130,90
1,242,81
1,237,90
1,34,81
1,359,81
1,375,81
1,387,81
1,323,90
1,286,81
1,109,81
1,159,81
1,279,90
1,241,81
1,289,81
1,76,81
1,331,90
1,273,81
1,344,81
1,8,81
1,203,81
1,362,81
1,176,81
1,252,81
1,389,81
1,135,81
1,82,81
1,132,81
1,57,81
1,222,81
1,331,90
1,335,81
1,355,81
1,284,90
1,65,81
1,355,81
1,165,81
1,226,81
1,94,81
1,94,81
1,131,81
1,370,81
1,275,90
1,347,81
1,52,81
1,299,81
1,232,81
1,284,90
1,328,81
1,359,81
1,387,81
1,80,81
1,115,81
1,22,81
1,161,81
1,196,81
1,310,81
1,128,81
1,161,81
1,56,81
1,242,81
1,182,81
1,279,90
1,26,81
1,392,81
1,340,81
1,228,81
1,284,90
1,227,81
1,19,90
1,337,81
1,281,81
1,14,81
1,212,81
1,32,81
1,331,90
1,124,81
1,249,81
1,345,81
1,355,81
1,32,81
1,81,81
1,249,81
1,398,90
1,263,81
1,306,90
1,317,81
1,383,81
1,57,81
1,332,81
1,374,81
1,4,81
1,269,81
1,392,81
1,337,81
1,185,90
1,107,81
1,138,81
1,306,90
1,221,81
1,331,90
1,156,81
1,77,81
1,281,81
1,307,81
1,27,81
1,238,81
1,240,90
1,334,90
1,130,90
1,353,81
1,42,81
1,397,90
1,286,81
1,260,81
1,159,81
1,58,90
1,150,81
1,252,81
1,334,90
1,97,81
1,291,81
1,163,90
1,244,81
1,188,81
1,162,81
1,323,90
1,201,81
1,343,81
1,40,81
1,17,81
1,9,81
1,284,90
1,272,81
1,78,81
1,133,81
1,331,90
1,108,81
1,10,81
1,195,81
1,34,81
1,164,81
1,77,81
1,269,81
1,294,81
1,334,90
1,195,81
1,346,81
1,357,90
1,243,90
1,293,81
1,301,81
1,234,81
1,140,81
1,39,81
1,215,90
1,190,81
1,10,81
1,258,81
1,23,81
1,293,81
1,138,81
1,35,81
1,144,81
1,286,81
1,56,81
